experiment_id,model,model_short,sparsity,cal_nsamples,cal_tokens,pca_type,status,perplexity,compress_time_s,eval_time_s,total_time_s,model_load_time_s,num_layers,hidden_size,sliced_dim,original_params,sliced_params,shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,gpu_peak_mb,timestamp_start,timestamp_end,error
opt-1.3b_s10_n32_global,facebook/opt-1.3b,opt-1.3b,0.1,32,65536,global,success,15.264872550964355,39.63451027870178,20.011727333068848,72.68535137176514,2.8871917724609375,24,2048,1840,1418564704,1290460816,3768320,7.1875,0,1,17416.16015625,2025-12-12T15:40:23.567077,2025-12-12T15:41:36.552432,
opt-1.3b_s10_n64_per-layer,facebook/opt-1.3b,opt-1.3b,0.1,64,131072,per-layer,success,15.184051513671875,120.51817727088928,20.600078582763672,154.04188442230225,2.47234845161438,24,2048,1840,1418564704,1449584016,162891520,310.69091796875,24,24,17416.16015625,2025-12-12T15:41:38.637874,2025-12-12T15:44:12.983271,
opt-1.3b_s10_n64_global,facebook/opt-1.3b,opt-1.3b,0.1,64,131072,global,success,15.268308639526367,60.98100280761719,20.014414072036743,95.1333520412445,2.7666313648223877,24,2048,1840,1418564704,1290460816,3768320,7.1875,0,1,17416.16015625,2025-12-12T15:44:15.116122,2025-12-12T15:45:50.550679,
opt-1.3b_s10_n128_per-layer,facebook/opt-1.3b,opt-1.3b,0.1,128,262144,per-layer,success,15.143501281738281,211.00843596458435,20.627031564712524,246.69849300384521,3.4253931045532227,24,2048,1840,1418564704,1449584016,162891520,310.69091796875,24,24,17416.16015625,2025-12-12T15:45:52.605509,2025-12-12T15:49:59.604662,
opt-1.3b_s10_n128_global,facebook/opt-1.3b,opt-1.3b,0.1,128,262144,global,success,15.146098136901855,101.65670204162598,20.01851201057434,135.45193600654602,2.5243685245513916,24,2048,1840,1418564704,1290460816,3768320,7.1875,0,1,17416.16015625,2025-12-12T15:50:01.732895,2025-12-12T15:52:17.483644,
opt-1.3b_s10_n256_per-layer,facebook/opt-1.3b,opt-1.3b,0.1,256,524288,per-layer,success,15.090452194213867,394.794641494751,20.591307401657104,429.3056926727295,2.457374095916748,24,2048,1840,1418564704,1449584016,162891520,310.69091796875,24,24,17416.16015625,2025-12-12T15:52:19.578635,2025-12-12T15:59:29.187270,
opt-1.3b_s10_n256_global,facebook/opt-1.3b,opt-1.3b,0.1,256,524288,global,success,15.070049285888672,182.02551102638245,20.02735424041748,215.89150547981262,2.5160720348358154,24,2048,1840,1418564704,1290460816,3768320,7.1875,0,1,17416.16015625,2025-12-12T15:59:31.234829,2025-12-12T16:03:07.423089,
opt-1.3b_s20_n16_per-layer,facebook/opt-1.3b,opt-1.3b,0.2,16,32768,per-layer,success,17.725648880004883,53.7337372303009,19.84017777442932,86.9835479259491,2.6843719482421875,24,2048,1632,1418564704,1283343552,128523264,245.138671875,24,24,17416.16015625,2025-12-12T16:03:09.506375,2025-12-12T16:04:36.789477,
opt-1.3b_s20_n16_global,facebook/opt-1.3b,opt-1.3b,0.2,16,32768,global,success,17.825580596923828,29.482269525527954,19.388791799545288,61.59775352478027,2.757678508758545,24,2048,1632,1418564704,1158162624,3342336,6.375,0,1,17416.16015625,2025-12-12T16:04:38.854073,2025-12-12T16:05:40.741068,
opt-1.3b_s20_n32_per-layer,facebook/opt-1.3b,opt-1.3b,0.2,32,65536,per-layer,success,16.954078674316406,75.57494187355042,19.858585596084595,108.30290937423706,2.4438071250915527,24,2048,1632,1418564704,1283343552,128523264,245.138671875,24,24,17416.16015625,2025-12-12T16:05:42.832916,2025-12-12T16:07:31.432525,
opt-1.3b_s20_n32_global,facebook/opt-1.3b,opt-1.3b,0.2,32,65536,global,success,17.188039779663086,39.37084650993347,19.385995864868164,71.72247052192688,2.585310459136963,24,2048,1632,1418564704,1158162624,3342336,6.375,0,1,17416.16015625,2025-12-12T16:07:33.490090,2025-12-12T16:08:45.500466,
opt-1.3b_s20_n64_per-layer,facebook/opt-1.3b,opt-1.3b,0.2,64,131072,per-layer,success,16.810903549194336,119.632981300354,19.86318850517273,152.65955924987793,2.606180429458618,24,2048,1632,1418564704,1283343552,128523264,245.138671875,24,24,17416.16015625,2025-12-12T16:08:47.579606,2025-12-12T16:11:20.538318,
opt-1.3b_s20_n64_global,facebook/opt-1.3b,opt-1.3b,0.2,64,131072,global,success,17.171302795410156,59.82887125015259,19.38958978652954,92.470134973526,2.428281545639038,24,2048,1632,1418564704,1158162624,3342336,6.375,0,1,17416.16015625,2025-12-12T16:11:22.623371,2025-12-12T16:12:55.382245,
opt-1.3b_s20_n128_per-layer,facebook/opt-1.3b,opt-1.3b,0.2,128,262144,per-layer,success,16.58054542541504,209.1785912513733,19.84074831008911,252.70606398582458,2.789102792739868,24,2048,1632,1418564704,1283343552,128523264,245.138671875,24,24,17416.16015625,2025-12-12T16:12:57.467116,2025-12-12T16:17:10.468370,
opt-1.3b_s20_n128_global,facebook/opt-1.3b,opt-1.3b,0.2,128,262144,global,success,16.95532989501953,101.54024457931519,19.38905930519104,135.99572348594666,3.8515477180480957,24,2048,1632,1418564704,1158162624,3342336,6.375,0,1,17416.16015625,2025-12-12T16:17:12.553117,2025-12-12T16:19:28.841803,
opt-1.3b_s20_n256_per-layer,facebook/opt-1.3b,opt-1.3b,0.2,256,524288,per-layer,success,16.50436019897461,389.0389070510864,19.861164808273315,423.4973409175873,2.429821252822876,24,2048,1632,1418564704,1283343552,128523264,245.138671875,24,24,17416.16015625,2025-12-12T16:19:30.939045,2025-12-12T16:26:34.730490,
opt-1.3b_s20_n256_global,facebook/opt-1.3b,opt-1.3b,0.2,256,524288,global,success,16.7783203125,182.79281902313232,19.38653826713562,216.49364137649536,2.6054458618164062,24,2048,1632,1418564704,1158162624,3342336,6.375,0,1,17416.16015625,2025-12-12T16:26:36.781682,2025-12-12T16:30:13.566193,
opt-1.3b_s25_n16_per-layer,facebook/opt-1.3b,opt-1.3b,0.25,16,32768,per-layer,success,19.471651077270508,54.30732011795044,19.53988528251648,88.96873044967651,3.208296775817871,24,2048,1536,1418564704,1207988832,114032640,217.5,24,24,17416.16015625,2025-12-12T16:30:15.661280,2025-12-12T16:31:44.922045,
opt-1.3b_s25_n16_global,facebook/opt-1.3b,opt-1.3b,0.25,16,32768,global,success,20.047039031982422,29.971147775650024,19.14825987815857,63.01218128204346,2.9468257427215576,24,2048,1536,1418564704,1097101920,3145728,6.0,0,1,17416.16015625,2025-12-12T16:31:47.018105,2025-12-12T16:32:50.318953,
opt-1.3b_s25_n32_per-layer,facebook/opt-1.3b,opt-1.3b,0.25,32,65536,per-layer,success,18.2900390625,76.21839165687561,19.54541802406311,110.21031188964844,3.421238660812378,24,2048,1536,1418564704,1207988832,114032640,217.5,24,24,17416.16015625,2025-12-12T16:32:52.399586,2025-12-12T16:34:42.901562,
opt-1.3b_s25_n32_global,facebook/opt-1.3b,opt-1.3b,0.25,32,65536,global,success,19.228517532348633,40.42965340614319,19.163862228393555,74.04852366447449,2.527787923812866,24,2048,1536,1418564704,1097101920,3145728,6.0,0,1,17416.16015625,2025-12-12T16:34:45.007134,2025-12-12T16:35:59.346825,
opt-1.3b_s25_n64_per-layer,facebook/opt-1.3b,opt-1.3b,0.25,64,131072,per-layer,success,18.043195724487305,118.88789248466492,19.54558277130127,152.10365223884583,2.5415127277374268,24,2048,1536,1418564704,1207988832,114032640,217.5,24,24,17416.16015625,2025-12-12T16:36:01.389613,2025-12-12T16:38:33.860082,
opt-1.3b_s25_n64_global,facebook/opt-1.3b,opt-1.3b,0.25,64,131072,global,success,18.909927368164062,60.96509623527527,19.155774116516113,94.46958780288696,3.044562339782715,24,2048,1536,1418564704,1097101920,3145728,6.0,0,1,17416.16015625,2025-12-12T16:38:35.907682,2025-12-12T16:40:10.671268,
opt-1.3b_s25_n128_per-layer,facebook/opt-1.3b,opt-1.3b,0.25,128,262144,per-layer,success,17.76970100402832,207.23880529403687,19.546112775802612,241.49229407310486,3.050849437713623,24,2048,1536,1418564704,1207988832,114032640,217.5,24,24,17416.16015625,2025-12-12T16:40:12.719832,2025-12-12T16:44:14.504233,
opt-1.3b_s25_n128_global,facebook/opt-1.3b,opt-1.3b,0.25,128,262144,global,success,18.71785545349121,101.71941757202148,19.154221534729004,135.83637523651123,2.921477794647217,24,2048,1536,1418564704,1097101920,3145728,6.0,0,1,17416.16015625,2025-12-12T16:44:16.635203,2025-12-12T16:46:32.758535,
opt-1.3b_s25_n256_per-layer,facebook/opt-1.3b,opt-1.3b,0.25,256,524288,per-layer,success,17.608583450317383,386.9039902687073,19.544992446899414,422.8705246448517,3.790621519088745,24,2048,1536,1418564704,1207988832,114032640,217.5,24,24,17416.16015625,2025-12-12T16:46:34.855796,2025-12-12T16:53:38.024478,
opt-1.3b_s25_n256_global,facebook/opt-1.3b,opt-1.3b,0.25,256,524288,global,success,18.497480392456055,182.8330318927765,19.159413814544678,216.51161742210388,2.732174873352051,24,2048,1536,1418564704,1097101920,3145728,6.0,0,1,17416.16015625,2025-12-12T16:53:40.115395,2025-12-12T16:57:16.914029,
opt-1.3b_s30_n16_per-layer,facebook/opt-1.3b,opt-1.3b,0.3,16,32768,per-layer,success,22.43329620361328,55.314011096954346,19.395065307617188,88.0081958770752,2.43597412109375,24,2048,1432,1418564704,1127332152,99312064,189.4227294921875,24,24,17416.16015625,2025-12-12T16:57:19.014300,2025-12-12T16:58:47.311941,
opt-1.3b_s30_n16_global,facebook/opt-1.3b,opt-1.3b,0.3,16,32768,global,success,24.775182723999023,29.839133262634277,19.0087673664093,62.765100717544556,2.3822522163391113,24,2048,1432,1418564704,1030952824,2932736,5.59375,0,1,17416.16015625,2025-12-12T16:58:49.409685,2025-12-12T16:59:52.472490,
opt-1.3b_s30_n32_per-layer,facebook/opt-1.3b,opt-1.3b,0.3,32,65536,per-layer,success,20.612918853759766,77.11625337600708,19.39492964744568,110.3637068271637,2.4850270748138428,24,2048,1432,1418564704,1127332152,99312064,189.4227294921875,24,24,17416.16015625,2025-12-12T16:59:54.541692,2025-12-12T17:01:45.200645,
opt-1.3b_s30_n32_global,facebook/opt-1.3b,opt-1.3b,0.3,32,65536,global,success,22.87860870361328,40.43608641624451,19.004120588302612,73.80234479904175,3.1062440872192383,24,2048,1432,1418564704,1030952824,2932736,5.59375,0,1,17416.16015625,2025-12-12T17:01:47.298186,2025-12-12T17:03:01.393376,
opt-1.3b_s30_n64_per-layer,facebook/opt-1.3b,opt-1.3b,0.3,64,131072,per-layer,success,20.041309356689453,121.82618880271912,19.355907440185547,155.7414722442627,3.0284786224365234,24,2048,1432,1418564704,1127332152,99312064,189.4227294921875,24,24,17416.16015625,2025-12-12T17:03:03.487931,2025-12-12T17:05:39.518722,
opt-1.3b_s30_n64_global,facebook/opt-1.3b,opt-1.3b,0.3,64,131072,global,success,22.33623504638672,60.80899357795715,19.008833169937134,93.31798505783081,2.3854005336761475,24,2048,1432,1418564704,1030952824,2932736,5.59375,0,1,17416.16015625,2025-12-12T17:05:41.618527,2025-12-12T17:07:15.230056,
opt-1.3b_s30_n128_per-layer,facebook/opt-1.3b,opt-1.3b,0.3,128,262144,per-layer,success,19.601362228393555,209.28072571754456,19.34752082824707,242.5459108352661,2.7263803482055664,24,2048,1432,1418564704,1127332152,99312064,189.4227294921875,24,24,17416.16015625,2025-12-12T17:07:17.308776,2025-12-12T17:11:20.142745,
opt-1.3b_s30_n128_global,facebook/opt-1.3b,opt-1.3b,0.3,128,262144,global,success,21.63140106201172,101.64920425415039,19.00738763809204,135.49868369102478,3.587158441543579,24,2048,1432,1418564704,1030952824,2932736,5.59375,0,1,17416.16015625,2025-12-12T17:11:22.241675,2025-12-12T17:13:38.038662,
opt-1.3b_s30_n256_per-layer,facebook/opt-1.3b,opt-1.3b,0.3,256,524288,per-layer,success,19.364072799682617,385.94774627685547,19.351964712142944,419.8991708755493,3.063405990600586,24,2048,1432,1418564704,1127332152,99312064,189.4227294921875,24,24,17416.16015625,2025-12-12T17:13:40.135371,2025-12-12T17:20:40.323683,
opt-1.3b_s30_n256_global,facebook/opt-1.3b,opt-1.3b,0.3,256,524288,global,success,21.494680404663086,181.89728808403015,19.00324296951294,214.51869869232178,2.8079335689544678,24,2048,1432,1418564704,1030952824,2932736,5.59375,0,1,17416.16015625,2025-12-12T17:20:42.387641,2025-12-12T17:24:17.198204,
opt-2.7b_s10_n16_per-layer,facebook/opt-2.7b,opt-2.7b,0.1,16,32768,per-layer,success,13.095749855041504,96.84870624542236,30.762912273406982,147.20514130592346,2.932138204574585,32,2560,2304,2780010592,2857891680,340328448,649.125,32,32,17500.81298828125,2025-12-12T17:24:19.255211,2025-12-12T17:26:46.811009,
opt-2.7b_s10_n16_global,facebook/opt-2.7b,opt-2.7b,0.1,16,32768,global,success,13.074981689453125,54.39863109588623,29.575554370880127,103.78380131721497,2.732078790664673,32,2560,2304,2780010592,2523461472,5898240,11.25,0,1,17680.1689453125,2025-12-12T17:26:48.963560,2025-12-12T17:28:33.088732,
opt-2.7b_s10_n32_per-layer,facebook/opt-2.7b,opt-2.7b,0.1,32,65536,per-layer,success,12.884785652160645,129.70746517181396,30.752788543701172,179.6438126564026,2.882550001144409,32,2560,2304,2780010592,2857891680,340328448,649.125,32,32,17680.1689453125,2025-12-12T17:28:35.144952,2025-12-12T17:31:35.143432,
