experiment_id,model_short,num_layers,sparsity,k_value,method,num_blocks,perplexity,status,compress_time_s,eval_time_s,total_time_s,shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,hidden_size,sliced_dim,total_params,total_params_mb,gpu_peak_mb,model_load_time_s,timestamp_start,timestamp_end,error
opt-1.3b_s20_k8,opt-1.3b,24,0.2,8,k-block-8,3,49.78311920166016,success,97.95171093940736,21.69536638259888,133.14081525802612,8669184.0,16.53515625,2.0,1.0,2048,1632,1163489472.0,2219.180053710937,17480.16015625,3.087502956390381,2025-12-11T14:09:43.851102,2025-12-11T14:11:56.991940,
opt-1.3b_s20_k12,opt-1.3b,24,0.2,12,k-block-12,2,45.85979080200195,success,97.80301141738892,21.63764190673828,133.42260932922363,6005760.0,11.455078125,1.0,1.0,2048,1632,1160826048.0,2214.099975585937,17448.16015625,2.9644269943237305,2025-12-11T14:11:59.188352,2025-12-11T14:14:12.610984,
opt-1.3b_s20_k24,opt-1.3b,24,0.2,24,global,1,17.45214080810547,success,100.1597912311554,21.586544036865234,136.56918573379517,3342336.0,6.375,0.0,1.0,2048,1632,1158162624.0,2209.019897460937,17416.16015625,2.755195140838623,2025-12-11T14:14:14.821166,2025-12-11T14:16:31.390376,
opt-1.3b_s25_k1,opt-1.3b,24,0.25,1,per-layer,24,18.166297912597656,success,209.34215021133423,21.66452479362488,253.3655107021332,114032640.0,217.5,24.0,24.0,2048,1536,1207988832.0,2304.0558471679688,17226.17578125,8.973584175109863,2025-12-11T14:16:33.607341,2025-12-11T14:20:46.972873,
opt-1.3b_s25_k2,opt-1.3b,24,0.25,2,k-block-2,12,6574.38623046875,success,99.20856761932372,21.3820481300354,141.75253009796145,29097984.0,55.5,11.0,1.0,2048,1536,1123054176.0,2142.0558471679688,17768.16015625,3.676568031311035,2025-12-11T14:20:49.170535,2025-12-11T14:23:10.923086,
opt-1.3b_s25_k3,opt-1.3b,24,0.25,3,k-block-3,8,1581.172607421875,success,99.32362508773804,21.377866506576535,136.54664182662964,19660800.0,37.5,7.0,1.0,2048,1536,1113616992.0,2124.0558471679688,17640.16015625,4.949713945388794,2025-12-11T14:23:13.113331,2025-12-11T14:25:29.659993,
opt-1.3b_s25_k4,opt-1.3b,24,0.25,4,k-block-4,6,837.8792724609375,success,99.12261986732484,21.3980655670166,135.1948230266571,14942208.0,28.5,5.0,1.0,2048,1536,1108898400.0,2115.0558471679688,17576.16015625,2.405557155609131,2025-12-11T14:25:31.850566,2025-12-11T14:27:47.045410,
opt-1.3b_s25_k6,opt-1.3b,24,0.25,6,k-block-6,4,379.5349731445313,success,98.42286348342896,21.33298659324646,133.29261684417725,10223616.0,19.5,3.0,1.0,2048,1536,1104179808.0,2106.0558471679688,17512.16015625,2.3456711769104004,2025-12-11T14:27:49.279461,2025-12-11T14:30:02.572099,
opt-1.3b_s25_k8,opt-1.3b,24,0.25,8,k-block-8,3,58.66918563842773,success,98.59468650817873,21.32928228378296,133.92327427864075,7864320.0,15.0,2.0,1.0,2048,1536,1101820512.0,2101.5558471679688,17480.16015625,2.6662676334381104,2025-12-11T14:30:04.790683,2025-12-11T14:32:18.713980,
opt-1.3b_s25_k12,opt-1.3b,24,0.25,12,k-block-12,2,51.71791076660156,success,98.81244349479675,21.348116874694824,135.70262551307678,5505024.0,10.5,1.0,1.0,2048,1536,1099461216.0,2097.0558471679688,17448.16015625,2.401297807693481,2025-12-11T14:32:20.930062,2025-12-11T14:34:36.632708,
